V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
Mexico,Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,United States of America,Guatemala,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,New Caledonia,Canada,United States of America,United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Honduras,Spain,Ireland,Ireland,Spain,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,United States of America,Honduras,United States of America,United States of America,United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA
United States of America,United States of America,United States of America,Belize,Honduras,Guatemala,Mexico,United States of America,United States of America,United States of America,Honduras,United States of America,United States of America,NA
United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Belize,Guatemala,Honduras,United States of America,Honduras,Belize,Belize,United States of America,NA,NA,NA,NA,NA
United States of America,United States of America,United States of America,England,United States of America,Canada,United States of America,NA,NA,NA,NA,NA,NA,NA
England,Wales,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,United States of America,Mexico,Mexico,United States of America,Colombia,Colombia,Colombia,United States of America,United States of America,NA,NA,NA,NA
United States of America,United States of America,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,United States of America,United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
England,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,United States of America,Canada,Canada,United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,Belize,United States of America,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,Mexico,Mexico,Mexico,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
England,England,United States of America,Honduras,Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,United States of America,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,NA
Mexico,Panama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,United States of America,United States of America,Cuba,Brazil,United States of America,Colombia,United States of America,Mexico,Mexico,United States of America,St Kitts & Nevi
Mexico,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,United States of America,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,Honduras,United States of America,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,Honduras,United States of America,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Taiwan,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,Japan,Panama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,Honduras,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,Cuba,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,United States of America,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,United States of America,France,Guatemala,Mexico,El Salvador,Mexico,United States of America,France,Honduras,Guatemala,United States of America,Spain,NA
Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,United States of America,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
