authors	year	document_type	open_access	source_title	language	addresses	affiliations	source	Type of Paper 	Relevant to the manuscript?	Why (if not)	If other please describe 
Ruben Z.; Murgulet D.; Lopez C.V.; Marino-Tapia I.; Valle-Levinson A.; Matthews K.E.	2024	Article	All Open Access; Gold Open Access	Journal of Hydrology: Regional Studies	English	Ruben Z. Texas A&M University-Corpus Christi Center for Water Supply Studies United States; Murgulet D. Texas A&M University-Corpus Christi Center for Water Supply Studies United States; Lopez C.V. Texas A&M University-Corpus Christi Center for Water Supply Studies United States; Marino-Tapia I. Escuela Nacional de Estudios Superiores unidad Mérida Universidad Nacional Autónoma de México United States; Valle-Levinson A. University of Florida Gainesville United States; Matthews K.E. Texas A&M University-Corpus Christi Center for Water Supply Studies United States	Texas A&M University-Corpus Christi Center for Water Supply Studies United States; Escuela Nacional de Estudios Superiores unidad Mérida Universidad Nacional Autónoma de México United States; University of Florida Gainesville United States	Scopus	Basic/descriptive science	Yes - focus relates to manuscript	n/a	
Sabbagh S.M.; Hickey G.M.	2020	Article	All Open Access; Gold Open Access; Green Open Access	Sustainability (Switzerland)	English	Sabbagh S.M. Department of Natural Resource Sciences Faculty of Agricultural and Environmental Sciences McGill University Montréal H3A 0G4 QC Canada; Hickey G.M. Department of Natural Resource Sciences Faculty of Agricultural and Environmental Sciences McGill University Montréal H3A 0G4 QC Canada	Department of Natural Resource Sciences Faculty of Agricultural and Environmental Sciences McGill University Montréal H3A 0G4 QC Canada	Scopus	Perspective/opinion 	Yes - focus relates to manuscript	n/a	
Blanco-Parra M.P.; Sandoval-Laurrabaquio-Alvarado N.; Díaz-Jaimes P.; Niño-Torres C.A.	2022	Article	All Open Access; Bronze Open Access	Environmental Biology of Fishes	English	Blanco-Parra M.P. División de Desarrollo Sustentable Universidad Autónoma del Estado de Quintana Roo Quintana Roo Chetumal Mexico Programa Investigadores e Investigadoras por México Consejo Nacional de Ciencia y Tecnología Ciudad de México Mexico Fundación Internacional para la Naturaleza y la Sustentabilidad (FINS) Quintana Roo Chetumal Mexico; Sandoval-Laurrabaquio-Alvarado N. Posgrado en Ciencias del Mar y Limnología UNAM Ciudad de México Mexico Takata Centro de Investigación A. C Mahahual Mexico; Díaz-Jaimes P. Unidad Académica de Ecología y Biodiversidad Acuática Instituto de Ciencias del Mar y Limnología UNAM Ciudad de México Mexico; Niño-Torres C.A. División de Desarrollo Sustentable Universidad Autónoma del Estado de Quintana Roo Quintana Roo Chetumal Mexico Fundación Internacional para la Naturaleza y la Sustentabilidad (FINS) Quintana Roo Chetumal Mexico	División de Desarrollo Sustentable Universidad Autónoma del Estado de Quintana Roo Quintana Roo Chetumal Mexico; Programa Investigadores e Investigadoras por México Consejo Nacional de Ciencia y Tecnología Ciudad de México Mexico; Fundación Internacional para la Naturaleza y la Sustentabilidad (FINS) Quintana Roo Chetumal Mexico; Posgrado en Ciencias del Mar y Limnología UNAM Ciudad de México Mexico; Takata Centro de Investigación A. C Mahahual Mexico; Unidad Académica de Ecología y Biodiversidad Acuática Instituto de Ciencias del Mar y Limnología UNAM Ciudad de México Mexico	Scopus	Applied science 	Yes - focus relates to manuscript	n/a	
Pérez-Pech W.A.; de Jesús-Navarrate A.; Demilio E.; Anguas-Escalante A.; Hansen J.G.	2020	Article	NA	Zootaxa	English	Pérez-Pech W.A. El Colegio de la Frontera Sur-Unidad Chetumal Departamento de Ecología y Sistemática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; de Jesús-Navarrate A. El Colegio de la Frontera Sur-Unidad Chetumal Departamento de Ecología y Sistemática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Demilio E. Ryan Institute National University of Ireland Galway University Road Galway Ireland; Anguas-Escalante A. El Colegio de la Frontera Sur-Unidad Chetumal Departamento de Ecología y Sistemática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Hansen J.G. Natural History Museum of Denmark Department of Biology University of Copenhagen Universitetsparken 15 Copenhagen DK-2100 Denmark	El Colegio de la Frontera Sur-Unidad Chetumal Departamento de Ecología y Sistemática Av. Centenario km 5.5 Chetumal Quintana Roo Mexico; Ryan Institute National University of Ireland Galway University Road Galway Ireland; Natural History Museum of Denmark Department of Biology University of Copenhagen Universitetsparken 15 Copenhagen DK-2100 Denmark	Scopus	Basic/descriptive science	Unsure - flag for later review		
Bove C.B.; Ries J.B.; Davies S.W.; Westfield I.T.; Umbanhowar J.; Castillo K.D.	2019	Article	All Open Access; Bronze Open Access; Green Open Access	Proceedings of the Royal Society B: Biological Sciences	English	Bove C.B. Environment Ecology and Energy Program University of North Carolina at Chapel Hill Chapel Hill NC United States; Ries J.B. Department of Marine and Environmental Sciences Northeastern University Nahant MA United States; Davies S.W. Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States Department of Biology Boston University Boston MA United States; Westfield I.T. Department of Marine and Environmental Sciences Northeastern University Nahant MA United States; Umbanhowar J. Environment Ecology and Energy Program University of North Carolina at Chapel Hill Chapel Hill NC United States Department of Biology University of North Carolina at Chapel Hill Chapel Hill NC United States; Castillo K.D. Environment Ecology and Energy Program University of North Carolina at Chapel Hill Chapel Hill NC United States Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States	Environment Ecology and Energy Program University of North Carolina at Chapel Hill Chapel Hill NC United States; Department of Marine Sciences University of North Carolina at Chapel Hill Chapel Hill NC United States; Department of Biology University of North Carolina at Chapel Hill Chapel Hill NC United States; Department of Marine and Environmental Sciences Northeastern University Nahant MA United States; Department of Biology Boston University Boston MA United States	Scopus	Basic/descriptive science	Yes - focus relates to manuscript	n/a	
Palomino-Alvarez L.A.; Vital X.G.; Castillo-Cupul R.E.; Suárez-Mozo N.Y.; Ugalde D.; Cervantes-Campero G.; Muciño-Reyes M.R.; Homá-Canché P.; Hernández-Díaz Y.Q.; Sotelo-Casas R.; García-González M.; Avedaño-Peláez Y.A.; Hernández-González A.; Paz-Ríos C.E.; Lizaola-Guillermo J.M.; García-Venegas M.; Dávila-Jiménez Y.; Ortigosa D.; Hidalgo G.; Tello-Musi J.L.; Rivera-Higueras M.; Mendoza R.M.; Wicksten M.K.; Rocha R.M.; Vieira L.; Mendoza-Garfias M.B.; Simões N.; Guerra-Castro E.J.	2021	Article	All Open Access; Gold Open Access	Diversity	English	Palomino-Alvarez L.A. Posgrado en Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Av. Ciudad Universitaria 3000 Coyoacán Ciudad de México 04510 Mexico Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Vital X.G. Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico Posgrado en Ciencias Biológicas Unidad de Posgrado Edificio D 1◦Piso Circuito de Posgrados Ciudad Universitaria Ciudad de México 04510 Mexico; Castillo-Cupul R.E. KALANBIO A. C Research for Conservation Calle 27 #76 int.4 Mérida 97125 Mexico; Suárez-Mozo N.Y. Posgrado en Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Av. Ciudad Universitaria 3000 Coyoacán Ciudad de México 04510 Mexico Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Ugalde D. Posgrado en Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Av. Ciudad Universitaria 3000 Coyoacán Ciudad de México 04510 Mexico Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Cervantes-Campero G. Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Muciño-Reyes M.R. Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico Posgrado en Ciencias Biológicas Unidad de Posgrado Edificio D 1◦Piso Circuito de Posgrados Ciudad Universitaria Ciudad de México 04510 Mexico; Homá-Canché P. KALANBIO A. C Research for Conservation Calle 27 #76 int.4 Mérida 97125 Mexico; Hernández-Díaz Y.Q. Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Sotelo-Casas R. Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; García-González M. Posgrado en Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Av. Ciudad Universitaria 3000 Coyoacán Ciudad de México 04510 Mexico Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Avedaño-Peláez Y.A. Laboratorio de Sistemática de Invertebrados Marinos Universidad del Mar Campus Puerto Ángel Oaxaca 70902 Mexico; Hernández-González A. Posgrado en Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Av. Ciudad Universitaria 3000 Coyoacán Ciudad de México 04510 Mexico Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Paz-Ríos C.E. Instituto de Ecología Pesquerías y Oceanografía del Golfo de México Universidad Autónoma de Campeche (EPOMEX-UAC) Campus VI Campeche 24029 Mexico; Lizaola-Guillermo J.M. Departamento de Biología Marina Facultad de Medicina Veterinaria y Zootecnia Universidad Autónoma de Yucatán Km. 15.5 Carretera a Xmatkuil Apartado Postal 116 Mérida 97315 Mexico; García-Venegas M. Departamento de Biología Marina Facultad de Medicina Veterinaria y Zootecnia Universidad Autónoma de Yucatán Km. 15.5 Carretera a Xmatkuil Apartado Postal 116 Mérida 97315 Mexico; Dávila-Jiménez Y. Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Ortigosa D. Colección Nacional de Moluscos Instituto de Biología Universidad Nacional Autónoma de México Ciudad Universitaria Apartado Postal 70-153 Ciudad de México 04510 Mexico; Hidalgo G. Laboratorio Nacional de Resiliencia Costera (LANRESC) Laboratorios Nacionales CONACYT Sisal 97356 Mexico Centro del Cambio Global y la Sustentabilidad A.C. Villahermosa 86080 Mexico; Tello-Musi J.L. Laboratorio de Zoología UNAM FES Iztacala Avenida de los Barrios No. 1 Colonia Los Reyes Ixtacala Tlalnepantla 54090 Mexico; Rivera-Higueras M. Marine Science Institute The University of Texas 750 Channel View Drive Port Aransas 78373 TX United States; Mendoza R.M. Facultad de Ciencias Universidad Católica de la Santísima Concepción Alonso de Ribera Concepción 2850 Chile; Wicksten M.K. Department of Biology Texas A&M University College Station 77843-3258 TX United States; Rocha R.M. Zoology Department Universidade Federal do Paraná UFPR CP 19020 Curitiba 81531-980 Brazil; Vieira L. Centro de Biociências Laboratório de Estudos de Bryozoa (LAEBry) Departamento de Zoologia Universidade Federal de Pernambuco Recife 50670-901 Brazil; Mendoza-Garfias M.B. Laboratorio de Microscopía y Fotografía de la Biodiversidad 1 LaNaBio IBUNAM Ciudad de México 04510 Mexico; Simões N. Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico Laboratorio Nacional de Resiliencia Costera (LANRESC) Laboratorios Nacionales CONACYT Sisal 97356 Mexico International Chair for Coastal and Marine Studies Harte Research Institute for Gulf of Mexico Studies Texas A and M University-Corpus Christi Corpus Christi 78412 TX United States; Guerra-Castro E.J. Laboratorio Nacional de Resiliencia Costera (LANRESC) Laboratorios Nacionales CONACYT Sisal 97356 Mexico Departamento de Sistemas y Procesos Naturales Escuela Nacional de Estudios Superiores Unidad Mérida Universidad Nacional Autónoma de México Mérida 97357 Mexico	Posgrado en Ciencias del Mar y Limnología Universidad Nacional Autónoma de México Av. Ciudad Universitaria 3000 Coyoacán Ciudad de México 04510 Mexico; Unidad Multidisciplinaria de Docencia e Investigación Sisal (UMDI-Sisal) Facultad de Ciencias Universidad Nacional Autónoma de México (FC UNAM) Sisal 97356 Mexico; Posgrado en Ciencias Biológicas Unidad de Posgrado Edificio D 1◦Piso Circuito de Posgrados Ciudad Universitaria Ciudad de México 04510 Mexico; KALANBIO A. C Research for Conservation Calle 27 #76 int.4 Mérida 97125 Mexico; Laboratorio de Sistemática de Invertebrados Marinos Universidad del Mar Campus Puerto Ángel Oaxaca 70902 Mexico; Instituto de Ecología Pesquerías y Oceanografía del Golfo de México Universidad Autónoma de Campeche (EPOMEX-UAC) Campus VI Campeche 24029 Mexico; Departamento de Biología Marina Facultad de Medicina Veterinaria y Zootecnia Universidad Autónoma de Yucatán Km. 15.5 Carretera a Xmatkuil Apartado Postal 116 Mérida 97315 Mexico; Colección Nacional de Moluscos Instituto de Biología Universidad Nacional Autónoma de México Ciudad Universitaria Apartado Postal 70-153 Ciudad de México 04510 Mexico; Laboratorio Nacional de Resiliencia Costera (LANRESC) Laboratorios Nacionales CONACYT Sisal 97356 Mexico; Centro del Cambio Global y la Sustentabilidad A.C. Villahermosa 86080 Mexico; Laboratorio de Zoología UNAM FES Iztacala Avenida de los Barrios No. 1 Colonia Los Reyes Ixtacala Tlalnepantla 54090 Mexico; Marine Science Institute The University of Texas 750 Channel View Drive Port Aransas 78373 TX United States; Facultad de Ciencias Universidad Católica de la Santísima Concepción Alonso de Ribera Concepción 2850 Chile; Department of Biology Texas A&M University College Station 77843-3258 TX United States; Zoology Department Universidade Federal do Paraná UFPR CP 19020 Curitiba 81531-980 Brazil; Centro de Biociências Laboratório de Estudos de Bryozoa (LAEBry) Departamento de Zoologia Universidade Federal de Pernambuco Recife 50670-901 Brazil; Laboratorio de Microscopía y Fotografía de la Biodiversidad 1 LaNaBio IBUNAM Ciudad de México 04510 Mexico; International Chair for Coastal and Marine Studies Harte Research Institute for Gulf of Mexico Studies Texas A and M University-Corpus Christi Corpus Christi 78412 TX United States; Departamento de Sistemas y Procesos Naturales Escuela Nacional de Estudios Superiores Unidad Mérida Universidad Nacional Autónoma de México Mérida 97357 Mexico	Scopus	Basic/descriptive science	Unsure - flag for later review		
Cuevas E.; Liceaga-Correa M.D.L.A.; Uribe-Martínez A.; Gallegos-Fernández S.A.; Moncada-Gavilán F.; González-Díaz-Mirón R.J.; López-Castro M.C.; Guzmán-Hernández V.; López M.	2022	Article	All Open Access; Gold Open Access	Frontiers in Marine Science	English	Cuevas E. Laboratorio de Percepción Remota y SIG Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Departamento de Recursos del Mar Mérida Mexico Departamento de Recursos del Mar CONACYT - Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Mérida Mexico Recursos del Mar CONACYT – Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Mérida Mexico; Liceaga-Correa M.D.L.A. Laboratorio de Percepción Remota y SIG Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Departamento de Recursos del Mar Mérida Mexico; Uribe-Martínez A. Laboratorio de Percepción Remota y SIG Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Departamento de Recursos del Mar Mérida Mexico Harte Research Institute Texas A&M University United States Kalanbio A.C Mérida Mexico; Gallegos-Fernández S.A. Laboratorio de Percepción Remota y SIG Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Departamento de Recursos del Mar Mérida Mexico Posgrado en Ciencias en Restauración Ecológica Universidad Autónoma del Carmen Cd. del Carmen Mexico; Moncada-Gavilán F. Programa de Tortugas Marinas Centro de Investigaciones Pesqueras La Habana Cuba; González-Díaz-Mirón R.J. Aquarium del Puerto de Veracruz Veracruz Mexico; López-Castro M.C. Programa de Conservación de Tortugas Marinas Pronatura Península de Yucatán A. C Mérida Mexico; Guzmán-Hernández V. Área de Protección de Flora y Fauna Laguna de Términos-Comisión Nacional de Áreas Naturales Protegidas Cd. del Carmen Mexico; López M. Área de Protección de Flora y Fauna Laguna de Términos-Comisión Nacional de Áreas Naturales Protegidas Cd. del Carmen Mexico	Laboratorio de Percepción Remota y SIG Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Departamento de Recursos del Mar Mérida Mexico; Departamento de Recursos del Mar CONACYT - Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Mérida Mexico; Recursos del Mar CONACYT – Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Mérida Mexico; Harte Research Institute Texas A&M University United States; Posgrado en Ciencias en Restauración Ecológica Universidad Autónoma del Carmen Cd. del Carmen Mexico; Programa de Tortugas Marinas Centro de Investigaciones Pesqueras La Habana Cuba; Aquarium del Puerto de Veracruz Veracruz Mexico; Programa de Conservación de Tortugas Marinas Pronatura Península de Yucatán A. C Mérida Mexico; Área de Protección de Flora y Fauna Laguna de Términos-Comisión Nacional de Áreas Naturales Protegidas Cd. del Carmen Mexico; Área de Protección de Flora y Fauna Laguna de Términos-Comisión Nacional de Áreas Naturales Protegidas Cd. del Carmen Mexico; Kalanbio A.C Mérida Mexico	Scopus	Applied science 	Yes - focus relates to manuscript	n/a	
Lapointe B.E.; Tewfik A.; Phillips M.	2021	Article	All Open Access; Bronze Open Access	Marine Pollution Bulletin	English	Lapointe B.E. Florida Atlantic University-Harbor Branch Oceanographic Institute 5600 US 1 North Ft. Pierce 34946 FL United States; Tewfik A. Wildlife Conservation Society Belize Program PO Box 768 1755 Coney Drive 2nd Floor Belize City Belize; Phillips M. Wildlife Conservation Society Belize Program PO Box 768 1755 Coney Drive 2nd Floor Belize City Belize	Florida Atlantic University-Harbor Branch Oceanographic Institute 5600 US 1 North Ft. Pierce 34946 FL United States; Wildlife Conservation Society Belize Program PO Box 768 1755 Coney Drive 2nd Floor Belize City Belize	Scopus	Applied science 	Yes - focus relates to manuscript	n/a	
Irola-Sansores E.D.; Delgado-Pech B.; García-Mendoza E.; Núñez-Vázquez E.J.; Olivos-Ortiz A.; Almazán-Becerril A.	2018	Article	All Open Access; Gold Open Access	Frontiers in Marine Science	English	Irola-Sansores E.D. Laboratorio de Ecología Costera Centro de Investigación Científica de Yucatán A.C. Unidad de Ciencias del Agua Cancún Mexico; Delgado-Pech B. Laboratorio de Ecología Costera Centro de Investigación Científica de Yucatán A.C. Unidad de Ciencias del Agua Cancún Mexico; García-Mendoza E. Laboratorio FICOTOX Departamento de Oceanografía Biológica Centro de Investigación Científica y de Educación Superior de Ensenada Ensenada Mexico; Núñez-Vázquez E.J. Laboratorio de Toxinas Marinas y Aminoácidos Centro de Investigaciones Biológicas del Noroeste La Paz Mexico; Olivos-Ortiz A. Centro Universitario de Investigaciones Oceanológicas Universidad de Colima Manzanillo Mexico; Almazán-Becerril A. Laboratorio de Ecología Costera Centro de Investigación Científica de Yucatán A.C. Unidad de Ciencias del Agua Cancún Mexico	Laboratorio de Ecología Costera Centro de Investigación Científica de Yucatán A.C. Unidad de Ciencias del Agua Cancún Mexico; Laboratorio FICOTOX Departamento de Oceanografía Biológica Centro de Investigación Científica y de Educación Superior de Ensenada Ensenada Mexico; Laboratorio de Toxinas Marinas y Aminoácidos Centro de Investigaciones Biológicas del Noroeste La Paz Mexico; Centro Universitario de Investigaciones Oceanológicas Universidad de Colima Manzanillo Mexico	Scopus	Basic/descriptive science	Yes - focus relates to manuscript	n/a	
Sánchez-Hernández S.; Carrillo L.; Heyman W.D.	2022	Article	NA	Estuarine Coastal and Shelf Science	English	Sánchez-Hernández S. El Colegio de la Frontera Sur Departamento de Observación y Estudios de la Tierra la Atmósfera y el Océano Av. Centenario km 5.5 Col. Pacto Obrero Chetumal 77014 Quintana Roo Mexico; Carrillo L. El Colegio de la Frontera Sur Departamento de Observación y Estudios de la Tierra la Atmósfera y el Océano Av. Centenario km 5.5 Col. Pacto Obrero Chetumal 77014 Quintana Roo Mexico; Heyman W.D. LGL Ecological Research Associates Inc. Bryan TX United States	El Colegio de la Frontera Sur Departamento de Observación y Estudios de la Tierra la Atmósfera y el Océano Av. Centenario km 5.5 Col. Pacto Obrero Chetumal 77014 Quintana Roo Mexico; LGL Ecological Research Associates Inc. Bryan TX United States	Scopus	Basic/descriptive science	Yes - focus relates to manuscript	n/a	
